"SPECIES","LONGITUDE","LATITUDE"
"1","elliptica",164.18326766,-20.28332522
"2","elliptica",164.18326766,-20.46665848
"3","elliptica",164.19993432,-20.44999182
"4","elliptica",164.21660098,-20.46665848
"5","elliptica",164.51660086,-20.39999184
"6","elliptica",164.73326744,-20.59999176
"7","elliptica",164.7499341,-20.73332504
"8","elliptica",164.76660076,-20.7499917
"9","elliptica",164.78326742,-20.61665842
"10","elliptica",164.78326742,-20.63332508
"11","elliptica",164.9166007,-20.94999162
"12","gracilis",164.51660086,-20.4166585
"13","gracilis",164.53326752,-20.39999184
"14","gracilis",164.69993412,-20.53332512
"15","gracilis",164.71660078,-20.4999918
"16","gracilis",164.7499341,-20.73332504
"17","gracilis",164.76660076,-20.56665844
"18","gracilis",164.76660076,-20.5833251
"19","gracilis",164.78326742,-20.56665844
"20","gracilis",164.78326742,-20.61665842
"21","longifolia",164.18326766,-20.46665848
"22","longifolia",164.19993432,-20.44999182
"23","longifolia",164.21660098,-20.46665848
"24","longifolia",164.53326752,-20.39999184
"25","longifolia",164.68326746,-20.53332512
"26","longifolia",164.69993412,-20.53332512
"27","longifolia",164.73326744,-20.5833251
"28","longifolia",164.7499341,-20.5833251
"29","longifolia",164.78326742,-20.61665842
"30","longifolia",164.78326742,-20.63332508
"31","oubatchensis",164.51660086,-20.38332518
"32","oubatchensis",164.51660086,-20.39999184
"33","oubatchensis",164.51660086,-20.4166585
"34","oubatchensis",164.53326752,-20.39999184
"35","oubatchensis",164.54993418,-20.4166585
"36","oubatchensis",164.59993416,-20.46665848
"37","oubatchensis",164.68326746,-20.53332512
"38","oubatchensis",164.69993412,-20.53332512
"39","oubatchensis",164.73326744,-20.5833251
"40","oubatchensis",164.7499341,-20.5833251
"41","oubatchensis",164.7499341,-20.59999176
"42","oubatchensis",164.7499341,-20.61665842
"43","oubatchensis",164.7499341,-20.73332504
"44","oubatchensis",164.76660076,-20.5833251
"45","oubatchensis",164.78326742,-20.61665842
"46","oubatchensis",164.78326742,-20.63332508
"47","oubatchensis",164.9166007,-20.94999162
"48","velutinosa",164.43326756,-20.29999188
"49","velutinosa",164.53326752,-20.39999184
"50","velutinosa",164.68326746,-20.53332512
"51","velutinosa",164.69993412,-20.53332512
"52","velutinosa",164.73326744,-20.5833251
"53","velutinosa",164.73326744,-20.59999176
"54","velutinosa",164.7499341,-20.5833251
"55","velutinosa",164.76660076,-20.7499917
"56","velutinosa",164.78326742,-20.61665842
"57","velutinosa",164.88326738,-20.78332502
